genre1,genre2,count
dark,raw,18
dark,industrial,18
rac,heavy,18
nu-metal,thrash,18
nu-metal,death,18
pop,heavy,18
death,jazz,17
doom,pagan,17
brutal,progressive,17
experimental,avant-garde,17
heavy,psychedelic,17
progressive,brutal,17
black,deathcore,17
deathcore,black,17
psychedelic,heavy,17
viking,pagan,17
avant-garde,experimental,17
pagan,viking,17
pagan,doom,17
jazz,death,17
industrial,heavy,16
heavy,industrial,16
groove,black,16
groove,gothic,16
rock,neoclassical,16
metalcore,power,16
technical,power,16
power,metalcore,16
power,technical,16
black,groove,16
speed,hardcore,16
deathcore,symphonic,16
gothic,ambient,16
gothic,groove,16
ambient,gothic,16
symphonic,deathcore,16
hardcore,speed,16
epic,pagan,16
pagan,epic,16
neoclassical,rock,16
death,raw,15
death,hard,15
rock,glam,15
progressive,post-rock,15
progressive,grindcore,15
technical,speed,15
grindcore,progressive,15
black,rac,15
raw,death,15
speed,technical,15
hard,death,15
ambient,symphonic,15
symphonic,ambient,15
drone,noise,15
noise,drone,15
post-rock,progressive,15
jazz,fusion,15
fusion,jazz,15
rac,black,15
glam,rock,15
death,fusion,14
blackened,gothic,14
blackened,black,14
experimental,melodic,14
industrial,sludge,14
industrial,noise,14
groove,grindcore,14
progressive,epic,14
melodic,experimental,14
melodic,alternative,14
sludge,industrial,14
grindcore,groove,14
black,psychedelic,14
black,blackened,14
crossover,crust,14
hard,punk,14
gothic,blackened,14
ambient,pagan,14
crust,crossover,14
alternative,melodic,14
noise,industrial,14
epic,progressive,14
psychedelic,black,14
punk,hard,14
pagan,ambient,14
fusion,death,14
blackened,deathcore,13
blackened,progressive,13
doom,metalcore,13
doom,alternative,13
doom,southern,13
experimental,groove,13
groove,experimental,13
progressive,blackened,13
metalcore,doom,13
southern,doom,13
deathcore,blackened,13
atmospheric,epic,13
hard,pop,13
hard,shred,13
gothic,alternative,13
folk,eastern,13
folk,medieval,13
shred,hard,13
alternative,doom,13
alternative,gothic,13
epic,atmospheric,13
eastern,folk,13
medieval,folk,13
pop,hard,13
thrash,funk,12
experimental,noise,12
rock,avant-garde,12
rock,metalcore,12
rock,blues,12
rock,nwobhm,12
rock,crossover,12
progressive,middle,12
